time,open,high,low,close,volume
2003-12-10,1060.65,1063.02,1053.41,1059.05,1444000000
2003-12-11,1059.25,1073.63,1059.25,1071.21,1441100000
2003-12-12,1071.21,1074.76,1067.64,1074.14,1223100000
2003-12-15,1077.77,1082.79,1068.0,1068.04,1520800000
2003-12-16,1068.09,1075.94,1068.06,1075.13,1547900000
2003-12-17,1075.13,1076.54,1071.14,1076.48,1441700000
2003-12-18,1076.8,1089.5,1076.8,1089.18,1579900000
2003-12-19,1089.18,1091.06,1084.19,1088.66,1657300000
2003-12-22,1088.64,1092.94,1086.14,1092.94,1251700000
2003-12-23,1092.94,1096.95,1091.73,1096.02,1145300000
2003-12-24,1095.25,1096.4,1092.73,1094.04,518060000
2003-12-26,1094.23,1098.47,1094.23,1095.89,356070000
2003-12-29,1095.89,1109.48,1095.89,1109.48,1058800000
2003-12-30,1109.19,1109.75,1106.41,1109.64,1012600000
2003-12-31,1109.49,1112.56,1106.21,1111.92,1027500000
2004-01-02,1112.64,1118.85,1105.08,1108.49,1153200000
2004-01-05,1110.62,1122.22,1110.62,1122.22,1578200000
2004-01-06,1121.58,1124.46,1118.44,1123.67,1494500000
2004-01-07,1123.62,1126.33,1116.45,1126.33,1704900000
2004-01-08,1126.33,1131.92,1124.91,1131.92,1868400000
2004-01-09,1131.34,1131.36,1120.9,1121.86,1720700000
2004-01-12,1122.53,1127.85,1120.9,1127.23,1510200000
2004-01-13,1127.23,1129.07,1115.19,1121.22,1595900000
2004-01-14,1121.22,1130.75,1121.22,1130.52,1514600000
2004-01-15,1130.52,1137.11,1124.5,1132.05,1695000000
2004-01-16,1132.23,1139.83,1132.23,1139.83,1721100000
2004-01-20,1140.62,1142.93,1135.4,1138.77,1698200000
2004-01-21,1138.77,1149.21,1134.62,1147.62,1757600000
2004-01-22,1148.01,1150.51,1143.01,1143.94,1693700000
2004-01-23,1145.11,1150.31,1136.85,1141.55,1561200000
2004-01-26,1141.01,1155.38,1141.0,1155.37,1480600000
2004-01-27,1154.4,1155.2,1144.05,1144.05,1673100000
2004-01-28,1145.33,1149.14,1126.5,1128.48,1842000000
2004-01-29,1128.5,1134.39,1122.38,1134.11,1921900000
