time,open,high,low,close,volume
2009-12-23,0.17,2.16,0.17,1.91,
2009-12-24,0.14,0.77,0.14,0.59,
2009-12-28,0.51,1.46,0.14,0.79,
2009-12-29,0.43,2.2,0.13,1.62,
2009-12-30,3.47,9.73,1.43,1.65,
2009-12-31,0.12,2.37,0.12,1.86,
2010-01-04,0.71,0.84,0.18,0.69,
2010-01-05,0.16,0.65,0.16,0.6,
2010-01-06,0.06,1.81,0.06,0.73,
2010-01-07,0.01,1.09,0.01,0.67,
2010-01-08,0.16,2.23,0.06,1.61,
2010-01-11,0.12,0.99,0.12,0.88,
2010-01-12,1.56,2.48,1.21,1.71,
2010-01-13,0.72,2.2,0.07,1.12,
2010-01-14,0.24,1.26,0.19,1.05,
2010-01-15,15.61,21.5,1.28,1.85,
2010-01-19,59.51,59.51,0.55,0.72,
2010-01-20,6.77,6.77,0.12,0.91,
2010-01-21,4.66,5.06,0.75,1.53,
2010-01-22,0.11,1.82,0.11,1.61,
2010-01-25,12.99,12.99,0.28,1.19,
2010-01-26,0.32,1.44,0.32,1.26,
2010-01-27,0.18,1.13,0.18,0.58,
2010-01-28,0.48,1.51,0.31,0.43,
2010-01-29,0.51,1.45,0.51,0.99,
2010-02-01,1.11,1.11,0.3,0.5,
2010-02-02,0.26,2.1,0.24,0.75,
2010-02-03,1.29,1.97,0.58,1.63,
2010-02-04,0.38,2.68,0.38,2.62,
2010-02-05,0.19,1.64,0.19,0.45,
2010-02-08,1.33,2.36,0.43,1.74,
2010-02-09,3.89,3.89,0.28,0.89,
2010-02-10,20.69,20.69,0.32,0.94,
2010-02-11,2.03,5.83,0.7,1.16,
2010-02-12,0.55,1.99,0.55,1.42,
2010-02-16,2.85,2.85,0.33,0.56,
2010-02-17,0.04,1.04,0.04,1.04,
2010-02-18,1.13,1.37,0.44,0.86,
2010-02-19,0.3,7.55,0.3,1.08,
2010-02-22,0.14,1.27,0.14,0.93,
2010-02-23,5.74,5.74,0.56,2.19,
2010-02-24,0.22,0.99,0.13,0.89,
2010-02-25,0.39,1.93,0.39,0.88,
2010-02-26,0.55,2.58,0.31,0.98,
2010-03-01,0.42,1.65,0.42,1.03,
2010-03-02,1.09,1.96,0.25,1.61,
2010-03-03,0.09,1.15,0.09,1.0,
2010-03-04,0.33,1.47,0.24,0.8,
2010-03-05,0.27,0.61,0.22,0.47,
2010-03-08,3.03,3.03,0.38,1.02,
2010-03-09,0.55,1.64,0.17,0.69,
2010-03-10,2.04,2.04,0.03,0.6,
2010-03-11,7.72,7.72,0.04,0.41,
2010-03-12,22.32,22.32,0.21,1.93,
2010-03-15,1.74,6.11,0.99,1.12,
2010-03-16,0.03,0.63,0.03,0.58,
2010-03-17,0.08,2.24,0.08,1.35,
2010-03-18,0.05,2.65,0.05,1.38,
2010-03-19,1.81,1.81,1.0,1.81,
2010-03-22,13.18,13.18,0.13,0.66,
2010-03-23,0.1,0.93,0.1,0.85,
2010-03-24,0.53,0.75,0.25,0.5,
2010-03-25,0.4,1.22,0.38,0.94,
2010-03-26,0.34,1.74,0.34,0.62,
2010-03-29,0.33,3.1,0.33,1.55,
2010-03-30,1.25,5.43,1.25,1.75,
2010-03-31,45.02,45.02,0.78,1.35,
2010-04-01,4.32,4.7,0.28,0.52,
2010-04-05,0.77,0.91,0.42,0.67,
2010-04-06,221.14,221.14,0.14,0.73,
2010-04-07,0.14,0.74,0.14,0.63,
2010-04-08,0.17,1.12,0.17,0.57,
2010-04-09,1.86,1.86,0.04,0.82,
2010-04-12,0.12,0.57,0.09,0.56,
2010-04-13,0.85,2.07,0.06,1.81,
2010-04-14,0.86,0.86,0.48,0.7,
2010-04-15,0.03,1.83,0.03,1.43,
2010-04-16,0.14,3.73,0.14,2.93,
2010-04-19,0.02,0.41,0.02,0.4,
2010-04-20,0.21,1.05,0.21,1.02,
2010-04-21,0.08,2.24,0.08,2.07,
2010-04-22,2.41,2.41,0.07,1.33,
2010-04-23,2.65,2.65,0.33,1.58,
2010-04-26,6.01,6.26,1.33,1.48,
2010-04-27,4.95,5.22,1.13,2.71,
2010-04-28,2.15,2.15,0.48,0.6,
2010-04-29,21.52,21.52,0.69,0.89,
2010-04-30,15.93,15.93,1.45,2.05,
2010-05-03,12.28,12.28,0.74,1.06,
2010-05-04,2.16,2.21,0.95,1.84,
2010-05-05,52.9,52.9,0.54,0.83,
2010-05-06,0.01,2.63,0.01,0.93,
2010-05-07,0.09,13.32,0.07,2.1,
2010-05-10,0.03,1.29,0.03,0.81,
2010-05-11,2.4,2.72,0.55,2.06,
2010-05-12,1.35,2.43,0.41,0.98,
2010-05-13,2.36,2.36,0.54,1.72,
2010-05-14,5.94,5.94,1.36,2.24,
2010-05-17,0.74,2.65,0.22,0.9,
2010-05-18,1.08,2.78,0.68,2.18,
2010-05-19,0.69,1.86,0.17,0.31,
2010-05-20,67.12,67.12,1.02,3.94,
2010-05-21,1.66,2.24,-0.15,0.15,
2010-05-24,0.72,1.38,0.07,1.26,
2010-05-25,12.94,12.94,0.16,0.24,
2010-05-26,0.45,1.56,0.45,1.4,
2010-05-27,0.94,0.94,0.33,0.44,
2010-05-28,0.77,5.91,0.07,2.0,
2010-06-01,9.35,9.35,0.74,3.27,
2010-06-02,0.34,0.77,0.32,0.34,
2010-06-03,0.1,1.15,0.09,0.99,
2010-06-04,2.84,19.13,0.85,11.63,
2010-06-07,0.54,4.58,0.45,2.08,
2010-06-08,1.16,1.16,0.24,0.46,
2010-06-09,7.53,7.53,0.77,1.51,
2010-06-10,0.08,0.37,0.08,0.17,
2010-06-11,0.06,1.35,0.06,1.18,
2010-06-14,14.39,14.39,0.66,1.89,
2010-06-15,18.75,18.75,0.24,0.28,
2010-06-16,98.45,98.45,0.84,1.01,
2010-06-17,4.77,4.77,0.67,1.57,
2010-06-18,0.79,4.03,0.79,0.97,
2010-06-21,2.82,2.82,0.55,0.8,
2010-06-22,0.6,6.01,0.6,3.2,
2010-06-23,0.45,2.07,0.34,1.17,
2010-06-24,1.55,3.66,1.09,2.51,
2010-06-25,0.18,1.45,0.18,1.38,
2010-06-28,0.36,2.51,0.23,1.02,
2010-06-29,0.05,12.09,0.05,3.59,
2010-06-30,0.09,1.49,0.09,1.3,
2010-07-01,0.31,3.34,0.1,0.62,
2010-07-02,0.26,2.95,0.25,1.24,
2010-07-06,0.27,1.68,0.23,0.74,
2010-07-07,0.53,1.95,0.36,0.41,
2010-07-08,0.43,1.4,0.33,0.79,
2010-07-09,3.83,24.26,0.62,0.85,
2010-07-12,0.29,1.04,0.13,0.54,
2010-07-13,0.03,0.78,0.03,0.51,
2010-07-14,7.38,7.38,0.88,1.1,
2010-07-15,1.27,4.18,0.14,0.91,
2010-07-16,1.94,5.05,0.8,4.59,
2010-07-19,0.65,1.93,0.59,1.03,
2010-07-20,0.19,1.11,0.19,0.9,
2010-07-21,1.31,2.26,0.57,1.92,
2010-07-22,0.21,1.01,0.21,0.86,
2010-07-23,0.57,2.08,0.57,1.55,
2010-07-26,0.22,1.13,0.22,0.58,
2010-07-27,0.38,0.94,0.38,0.78,
2010-07-28,0.09,1.55,0.09,1.12,
2010-07-29,2.58,2.58,0.8,1.27,
2010-07-30,0.7,2.16,0.66,1.45,
2010-08-02,0.79,0.79,0.27,0.49,
2010-08-03,0.3,1.81,0.3,1.43,
2010-08-04,6.53,6.53,0.86,1.44,
2010-08-05,0.3,1.35,0.3,1.08,
2010-08-06,0.25,2.74,0.25,1.43,
2010-08-09,0.04,2.35,0.04,0.92,
2010-08-10,0.89,5.03,0.88,1.28,
2010-08-11,0.75,5.71,0.75,4.09,
2010-08-12,0.72,1.36,0.16,0.93,
2010-08-13,0.03,1.02,0.03,0.95,
2010-08-16,0.43,1.98,0.05,1.74,
2010-08-17,3.69,3.69,0.45,1.28,
2010-08-18,0.43,1.13,0.29,0.75,
2010-08-19,0.13,1.86,0.08,1.85,
2010-08-20,1.1,3.63,-0.47,1.75,
